rid,employer_name,verdict,organisation,address,city,state,zip,source_name,source_url,note
171,CIENA,correct,Ciena Corporation,7035 Ridge Road,Hanover,MD,21076,SEC EDGAR company record (business address),https://data.sec.gov/submissions/CIK0000936395.json,Ciena's headquarters per current SEC filings; no Sacramento office was found.
172,CISCO SYSTEMS,correct,"Cisco Systems, Inc.",170 West Tasman Drive,San Jose,CA,95134,SEC EDGAR company record (business address),https://data.sec.gov/submissions/CIK0000858877.json,"Cisco's headquarters per current SEC filings; the donors are in two different states, so the headquarters is used."
173,CITADEL,correct,Citadel (Citadel Advisors LLC / Citadel Securities),830 Brickell Plaza,Miami,FL,33131,SEC EDGAR - Citadel Advisors LLC business address,https://data.sec.gov/submissions/CIK0001423053.json,"Both Citadel Advisors and Citadel Securities list 830 Brickell Plaza, Miami in SEC filings; a New York office would suit the NY/CT donors better, but Citadel's site blocks automated access, so its street address could not be checked."
174,CITI,correct,Citigroup Inc.,388 Greenwich Street,New York,NY,10013,SEC EDGAR company record (business address),https://data.sec.gov/submissions/CIK0000831001.json,Citigroup's global headquarters per current SEC filings; it fits the NJ/CT donors.
175,CITIBANK,correct,"Citibank, N.A. (Citigroup Inc.)",388 Greenwich Street,New York,NY,10013,SEC EDGAR - Citigroup Inc. business address,https://data.sec.gov/submissions/CIK0000831001.json,"Citibank is run from Citigroup's New York headquarters, which fits the NJ/CT bankers."
176,CLEARLYDERM,corrected,"Clearly Derm LLC (ClearlyDerm dermatology, now part of Schweiger Dermatology Group)","13-15 West 27th Street, Suite 1100",New York,NY,10001,Florida Division of Corporations (Sunbiz) entity detail,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=EntityName&directionType=Initial&searchNameOrder=CLEARLYDERM%20L100000880942&aggregateId=flal-l10000088094-6d921cc8-b86a-40a2-ab7d-36bdc1e52690&searchTerm=CLEARLYDERM&listNameOrder=CLEARLYDERM%20L100000880942,"ClearlyDerm began in Boca Raton and now belongs to Schweiger Dermatology Group; the LLC's registered principal address changed in March 2026 to 13-15 W 27th St (the 33 E 33rd St address we publish is out of date); its Boca clinics now carry the Schweiger name, so the registry head office is used."
177,CLEERLY,correct,"Cleerly, Inc. (AI cardiac imaging)","1099 18th St., Suite 2860",Denver,CO,80202,openFDA 510(k) database - applicant address (July 2026 clearances),https://api.fda.gov/device/510k.json?search=applicant:cleerly&limit=10&sort=decision_date:desc,"Cleerly's July 2026 FDA filings use this Denver address; its site lists teams in New York, Denver and remote staff, so the Dallas-based attorney works remotely."
178,CLOUDERA,corrected,"Cloudera, Inc.","6220 America Center Dr, 5th Floor",San Jose,CA,95002,Cloudera global locations page,https://www.cloudera.com/about/locations.html,Cloudera's own locations page lists San Jose as its only California office and no longer mentions Santa Clara or Great America Parkway; there is no Massachusetts office listed.
179,CME GROUP,correct,CME Group Inc.,20 South Wacker Drive,Chicago,IL,60606,SEC EDGAR company record (business address),https://data.sec.gov/submissions/CIK0001156375.json,CME Group's headquarters per current SEC filings; 'CME Center' is just the building name.
180,COLDWELL BANKER REALTY,correct,Coldwell Banker Realty (Anywhere Real Estate brokerage),175 Park Ave,Madison,NJ,07940,Coldwell Banker Realty official site (organisation address in page metadata),https://www.coldwellbankerhomes.com/,"The official site gives 175 Park Ave, Madison NJ as the organisation address; the agents work from local branches in several states, so headquarters is used."
181,COLLIERS,corrected,Colliers (South Florida - Boca Raton office),"2385 NW Executive Center Drive, Suite 350",Boca Raton,FL,33431,Colliers South Florida offices page,https://www.colliers.com/en/united-states/cities/ft-lauderdale,"Both donors live in Boca Raton / Delray Beach, and Colliers has a Boca Raton office, so that fits better than the Seattle address we publish now."
182,COLUMBUS CONSULTING GROUP,not_found,"Columbus Consulting Group (the San Carlos CA-based CEO's firm, unidentified)",,,,,Columbus Consulting (Columbus OH) leadership page - different firm,https://www.columbusconsulting.com/our-team/,"The well-known Columbus Consulting (4200 Regent St, Columbus OH) has a different CEO, so it is not the donor's firm; no reliable public office was found for a Columbus Consulting Group matching a California CEO, and the NYC address we publish could not be confirmed."
183,COMCAST,correct,Comcast Corporation,"One Comcast Center, 1701 John F. Kennedy Boulevard",Philadelphia,PA,19103,SEC EDGAR company record (business address),https://data.sec.gov/submissions/CIK0001166691.json,"SEC filings list One Comcast Center, Philadelphia, and exhibits to Comcast's 2026 10-K use 1701 John F. Kennedy Boulevard."
184,COMPASS LEXECON,corrected,Compass Lexecon (Chicago office),"180 North Stetson Avenue, Suite 5300",Chicago,IL,60601,Compass Lexecon official office data (site API),https://www.compasslexecon.com/api/offices.json,An Illinois economist fits Compass Lexecon's Chicago office rather than the DC office we publish now (the DC address itself is still valid).
185,COOPER COMMUNICATIONS,not_found,Cooper Communications (the Encino CA owner's own PR / marketing firm),,,,,,,"The donor lists himself as owner of a PR firm with his own surname in the Encino area; no public office was found (the obvious domains are parked), and the NYC address we publish cannot be tied to this firm."
186,COOPER UNIVERSITY HOSPITAL,correct,Cooper University Hospital (now branded Cooper Norcross University Hospital),One Cooper Plaza,Camden,NJ,08103,Cooper Norcross Health contact page,https://www.cooperhealth.org/contact-us,"The official mailing address for the hospital, now branded Cooper Norcross, is unchanged; it fits the Philadelphia-area staff."
187,COPADO INC,corrected,"Copado, Inc.","200 E Randolph St, Suite 6675",Chicago,IL,60601,Copado contact page - 'Chicago (HQ)',https://www.copado.com/contact-us,"The contact page marks 200 E Randolph St Ste 6675 as the Chicago headquarters, while the site footer still shows the old 330 N Wabash Ave Fl 23 address."
188,COPS MONITORING,correct,COPS Monitoring,"1041 Glassboro Rd., Suite F2",Williamstown,NJ,08094,COPS Monitoring contact page - National Headquarters,https://www.copsmonitoring.com/contact,The company lists this as its national headquarters' physical address (mail goes to PO Box 836).
189,COREVEST,correct,CoreVest American Finance Lender (Redwood Trust subsidiary),"4 Park Plaza, Suite 900",Irvine,CA,92614,Redwood Trust FY2025 Form 10-K - primary office locations,https://www.sec.gov/Archives/edgar/data/930236/000093023626000007/rwt-20251231.htm,"Redwood Trust's 2025 10-K lists 4 Park Plaza Suite 900, Irvine (CoreVest) among its main offices; CoreVest is the only organisation found under this name, but whether the Michigan-based executive works there is not independently confirmed."
190,CORNERSTONE GOVERNMENT AFFAIRS,corrected,Cornerstone Government Affairs,"800 Maine Avenue SW, 7th Floor",Washington,DC,20024,Cornerstone Government Affairs contact page,https://cgagroup.com/contact/,"Headquarters moved from 1627 I St NW to 800 Maine Ave SW; the donors are split between Cornerstone's Iowa office (212 East 3rd St, Floor 2, Des Moines IA 50309) and its Illinois offices (300 E Monroe St Suite 20D, Springfield IL 62701, plus Chicago), so the headquarters is used."
191,COVETRUS,corrected,Covetrus (Covetrus - Arizona location),"2401 West Grandview Rd, Suite 100",Phoenix,AZ,85023,Covetrus contact page - office directory,https://covetrus.com/contact/,"Covetrus's headquarters is 12 Mountfort St, Portland ME (the address we publish is valid), but its office directory lists a Phoenix site, which fits a Scottsdale-based compounding-division executive better."
192,COX COMMUNICATIONS,correct,Cox Communications (now part of Charter Communications),6205-B Peachtree Dunwoody Road NE,Atlanta,GA,30328,"Charter 8-K exhibit 4.2 - Cox Communications supplemental indenture dated Aug 24, 2026",https://www.sec.gov/Archives/edgar/data/1091667/000110465926100972/tm2623711d1_ex4-2.htm,"Charter completed its combination with Cox on Aug 19, 2026, and an Aug 24, 2026 filing still gives Cox's principal executive office as 6205-B Peachtree Dunwoody Rd; the Tucson market office would fit better, but cox.com blocks automated access."
193,CRESA,corrected,Cresa (Bethesda MD office),"2 Bethesda Metro Center, Suite 900",Bethesda,MD,20814,Cresa Bethesda office page,https://www.cresa.com/Locations/North-America/Maryland/Bethesda-MD,A Bethesda-based adviser fits Cresa's Bethesda office rather than the Chicago headquarters we publish now.
194,CUMMING GROUP,corrected,Cumming Group (San Francisco office),"475 Sansome Street, Suite 700",San Francisco,CA,94111,Cumming Group locations page,https://cumming-group.com/en/locations/,A construction manager in Marin County fits Cumming's San Francisco office rather than the New York office we publish now.
195,CUSHMAN & WAKEFIELD,correct,Cushman & Wakefield,"225 West Wacker Drive, Suite 3000",Chicago,IL,60606,Cushman & Wakefield Chicago office page,https://www.cushmanwakefield.com/en/united-states/offices/chicago,"This is Cushman & Wakefield's Chicago headquarters (its SEC legal address is in Bermuda); the donors work in several states (CA, MD, NJ), so the headquarters is used."
196,CUTLER MANAGEMENT CORP,correct,"Cutler Management Corp. (commercial real estate management/development, Worcester MA)",43 Harvard Street,WORCESTER,MA,01609,Cutler Management official contact page,https://www.cutlermanagement.com/contact.html,"The company's official site lists 43 Harvard Street, Worcester. The donor files from Florida, but the firm's only office is in Worcester."
197,CVS HEALTH,correct,CVS Health Corporation,One CVS Drive,WOONSOCKET,RI,02895,SEC EDGAR company record (CVS Health Corp),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000064803&type=10-K&dateb=&owner=include&count=10,"Donors are spread over FL, VA and NY in different roles, so the headquarters fits best; EDGAR confirms One CVS Dr, Woonsocket."
198,CYBERHAVEN,corrected,"Cyberhaven, Inc. (Austin office)",1306 W Oltorf St,AUSTIN,TX,78704,Cyberhaven official contact page (office locations),https://www.cyberhaven.com/contact,"The published Palo Alto address is no longer on the company's list of offices. The donor is in Austin, where Cyberhaven lists an office at 1306 W Oltorf St."
199,D&H,ambiguous,Unresolved: D&H Distributing (Harrisburg PA) vs an unidentified local 'D&H' business in South Florida,,,,,D&H Distributing headquarters page (candidate),https://www.dandh.com/techdrive/,"The published 350 Highland Dr, Camp Hill address does not belong to D&H Distributing, whose HQ is 100 Tech Drive, Harrisburg. A D&H co-president shares the donor's name, but this donor filed as RETIRED in 2025 and then as MANAGER from Boca Raton, which does not fit an active co-president, so the organisation cannot be settled."
200,DALET,correct,Dalet Digital Media Systems USA (Americas HQ),"88 Pine Street, 8th Floor",NEW YORK,NY,10005,Dalet official offices page,https://www.dalet.com/offices/,"Dalet has no Florida office, and its Americas HQ at 88 Pine Street, 8th floor, New York is the office that fits a Miami business-development donor."
201,DANLY,corrected,Danly Properties (Austin commercial real estate investment/development firm),"1905 Aldrich St., Suite 201",AUSTIN,TX,78723,Danly Properties official website,https://www.danlyproperties.com/,"This is Danly Properties, an Austin real estate investor founded in 1990, not the Danly die-set brand of Dayton Lamina (500 Progress Rd, Dayton). The firm's current office is on Aldrich St in the Mueller district."
202,"DAVID DANIEL, M.D. PC",home_based,David Daniel MD PC (physician's own professional corporation),,FAR ROCKAWAY,NY,11691,NPPES NPI registry record for David Daniel MD PC,https://npiregistry.cms.hhs.gov/api/?version=2.1&number=1760884019,"The published street is exactly the donor's own filing address, so this is a one-physician PC run from home and no street should be published; the NPI record only shows an old 2014 Bronx location."
203,DAVID G HELLER MD,correct,"David G. Heller, MD (orthopaedic surgery practice)",541 Main St,SOUTH WEYMOUTH,MA,02190,"NPPES NPI registry (NPI 1699761825, updated 2026-07-13)",https://npiregistry.cms.hhs.gov/api/?version=2.1&first_name=David&last_name=Heller&state=MA&limit=50,"The NPI registry, updated 2026, lists the practice at 541 Main St, South Weymouth; it shows no suite, so the published 'Ste 104' is not confirmed."
204,DAVIS WRIGHT TREMAINE,corrected,Davis Wright Tremaine LLP (New York office),"1251 Avenue of the Americas, 42nd Floor",NEW YORK,NY,10020,Davis Wright Tremaine official New York office page,https://www.dwt.com/offices/new-york,"Most of these lawyers file from New York, with one in Los Angeles and none in Seattle, so the firm's New York office fits better than the Seattle HQ we publish now."
205,DCPS,correct,District of Columbia Public Schools (central office),1200 First Street NE,WASHINGTON,DC,20002,DCPS official offices page,https://dcps.dc.gov/page/dcps-offices,"A school speech-language pathologist living in Arlington VA fits DC Public Schools, whose central office is 1200 First Street NE."
206,DEEL,corrected,"Deel, Inc. (global payroll / employer-of-record company)",425 1st Street,SAN FRANCISCO,CA,94105,"GLEIF LEI record for Deel, Inc. (via Bloomberg LEI)",https://lei.bloomberg.com/leis/view/549300IFGBDZQE2NZG16,"Deel's LEI registration and BBB profile both give its headquarters as 425 1st Street, San Francisco, not the published 300 Brannan St. The donors are remote workers in FL and WA."
207,DELL,correct,Dell Technologies Inc.,One Dell Way,ROUND ROCK,TX,78682,SEC EDGAR company record (Dell Technologies Inc.),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001571996&type=10-K&dateb=&owner=include&count=10,"The donors are in IL, UT and FL with no common local office, so the headquarters at One Dell Way (confirmed by EDGAR) is the best fit."
208,DELOITTE TAX LLP,corrected,"Deloitte Tax LLP, Washington DC office (Washington National Tax)",1299 Pennsylvania Avenue NW,WASHINGTON,DC,20004,Deloitte official Washington DC office page,https://www.deloitte.com/us/en/offices/us-locations/washington-dc-12-St.html,"The donor is a Washington National Tax principal living in Potomac MD, so Deloitte's DC office fits, not the New York office at 30 Rockefeller Plaza."
209,DELPHI,corrected,Aptiv (formerly Delphi Automotive's Electronics & Safety business),5725 Innovation Drive,TROY,MI,48098,Aptiv official Equal Employment Opportunity page,https://www.aptiv.com/en/equal-employment-opportunity,"The donor is a reliability engineering leader who has moved from Delphi Electronics & Safety to Aptiv, the company it became in 2017. Aptiv's Troy office is the same building as before, but the street is now called 5725 Innovation Drive instead of Delphi Dr; no street address for the Kokomo site could be verified."
210,DENTONS,corrected,Dentons US LLP (Chicago office),"233 South Wacker Drive, Suite 5900",CHICAGO,IL,60606,Dentons official Chicago office page,https://www.dentons.com/en/global-presence/united-states/chicago,"Four of seven donors are in the Chicago area (two in Birmingham, likely Dentons Sirote, and one in VA), so the Chicago office fits better than New York's 1221 Avenue of the Americas."
211,DEPARTMENT OF THE ARMY - WHITE SANDS MISSILE RANGE,correct,U.S. Army White Sands Missile Range (installation),WHITE SANDS MISSILE RANGE,WHITE SANDS MISSILE RANGE,NM,88002,Military Times Installation Guide - U.S. Army Garrison White Sands Missile Range,https://installationguide.militarytimes.com/installation_service/u-s-army-garrison-white-sands-missile-range/?query-21-page=3,"This is one Army installation with its own ZIP (WSMR, NM 88002), and the installation-level location is right. The only street address found is the garrison welcome center (Bldg 329 Owen Rd), which is not where an engineer works, so no building is given."
212,DEPT OF VETERANS AFFAIRS,generic_no_office,U.S. Department of Veterans Affairs (federal department as a whole),,,,,,,"These physicians work at different VA facilities in CA, FL, PA and NY; the name is the whole federal department, so the DC headquarters address is not their office."
213,DERMATOLOGISTS OF CENTRAL STATES,corrected,Associated Dermatologists (Michigan affiliate of DOCS - Dermatologists of Central States),"6330 Orchard Lake Rd, Suite 120",WEST BLOOMFIELD,MI,48322,Associated Dermatologists (DOCS affiliate) West Bloomfield office page,https://michderm.com/locations/west-bloomfield-office,"The donor practises at DOCS's Michigan affiliate, Associated Dermatologists, in West Bloomfield/Novi/Farmington Hills, not at the Ohio office in Blue Ash."
214,DETROIT PISTONS BASKETBALL CLUB,corrected,"Detroit Pistons (team offices at the Pistons Performance Center, Detroit)",6201 2nd Ave,DETROIT,MI,48202,ProPublica Nonprofit Explorer (IRS data) - Detroit Pistons Foundation address,https://projects.propublica.org/nonprofits/api/v2/organizations/382858649.json,"The team left Auburn Hills after the 2016-17 season, so the published Auburn Hills address is outdated. The team's foundation (IRS data, via ProPublica) is at 6201 2nd Ave, Detroit, the practice-facility site; the team's own website does not show a street address."
215,DICKINSON WRIGHT,corrected,Dickinson Wright PLLC (Fort Lauderdale office),"350 East Las Olas Boulevard, Suite 1750",FORT LAUDERDALE,FL,33301,Dickinson Wright official offices page,https://www.dwlaw.com/offices,"The donor is a lawyer in Boca Raton, and the firm's Florida office is Ft. Lauderdale, 350 E Las Olas Blvd Suite 1750, not the Detroit HQ."
216,DICKS SPORTING GOODS,correct,"DICK'S Sporting Goods, Inc.",345 Court Street,CORAOPOLIS,PA,15108,SEC EDGAR company record (Dick's Sporting Goods),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001089063&type=10-K&dateb=&owner=include&count=10,"The donor is a chief marketing officer, which is an HQ role; EDGAR confirms 345 Court Street, Coraopolis."
217,DISCOVER VISION CENTERS,correct,Discover Vision Centers (Kansas City area eye practice),4741 S Cochise Dr.,INDEPENDENCE,MO,64055,Discover Vision Centers physician profile / locations page,https://www.discovervision.com/eye-doctor/john-f-doane-m-d/,The donor's profile lists two practice sites: the Independence MO eye care center at the published address and the Leawood KS surgery center (11500 Granada Lane). The published address is right.
218,DLR GROUP,corrected,DLR Group (Los Angeles office),"700 South Flower St., 22nd Floor",LOS ANGELES,CA,90017,DLR Group official locations page,https://www.dlrgroup.com/firm/locations/,"The donor is in South Pasadena, and DLR Group has a Los Angeles office at 700 S Flower St, which fits better than the Omaha office."
219,DOLLARTREE,correct,"Dollar Tree, Inc.",500 Volvo Parkway,CHESAPEAKE,VA,23320,"SEC EDGAR company record (Dollar Tree, Inc.)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000935703&type=10-K&dateb=&owner=include&count=10,"The donor is a store cashier and the individual store cannot be identified, so the corporate HQ is used; EDGAR confirms 500 Volvo Parkway."
220,DOORDASH,correct,"DoorDash, Inc.","303 2nd Street, South Tower, 8th Floor",SAN FRANCISCO,CA,94107,"SEC EDGAR company record (DoorDash, Inc.)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001792789&type=10-K&dateb=&owner=include&count=10,"The two donors are in CT and WA with no shared metro office, so the HQ is used; EDGAR gives the exact form as South Tower, 8th Floor."
221,DORA'S NATURALS,correct,Dora's Naturals (natural foods distributor),21 Empire Blvd,SOUTH HACKENSACK,NJ,07606,Dora's Naturals official website,https://www.dorasnaturals.com/,"The company's website confirms its headquarters and distribution facility at 21 Empire Blvd, South Hackensack, in the donor's NYC metro area."
222,DOUBLE RAINBOW,ambiguous,Unresolved: Double Rainbow ice cream company (San Francisco) vs an unidentified Ohio entity,,,,,,,"The donor is a company president in Shaker Heights OH. Nothing ties them to the San Francisco ice cream brand behind the published SF address, and no Ohio 'Double Rainbow' entity could be verified (the registry lookup was CAPTCHA-blocked)."
223,DOUGLAS LEGUM DEVELOPMENT,not_found,Legum Development / Douglas Legum Development (Bethesda-area real estate developer),,,,,Legum Development official website,https://www.legumdevelopment.com/,"The firm's current and archived websites give only an email address (and an old phone number), never a street office. The carried-over 6901 Rockledge Dr Ste 650 address could not be confirmed by any source."
224,DOWD BENNETT LLP,corrected,Dowd Bennett LLP (St. Louis headquarters),"7676 Forsyth Blvd., Suite 1900",SAINT LOUIS,MO,63105,Dowd Bennett official office locations page,https://www.dowdbennett.com/contact/,"The firm's St. Louis HQ is now 7676 Forsyth Blvd Suite 1900, not 7733 Forsyth. It has no South Carolina office, so the HQ is used."
225,DRAFTKINGS,correct,DraftKings Inc.,222 Berkeley Street,BOSTON,MA,02116,SEC EDGAR company record (DraftKings Inc.),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001883685&type=10-K&dateb=&owner=include&count=10,"EDGAR confirms the Boston HQ at 222 Berkeley Street (the published '5th Floor' is not in the filing). No Colorado office was verified, so the HQ fits the Colorado attorney."
226,DRL,corrected,"Dapeer, Rosenblit & Litvak LLP (DRL Law, Los Angeles)","11500 W. Olympic Blvd., Suite 550",LOS ANGELES,CA,90064,Dapeer Rosenblit & Litvak official contact page,https://www.drllaw.com/contact/,"For a Los Angeles attorney, 'DRL' is the LA law firm Dapeer Rosenblit & Litvak (whose name matches the donor's surname), not a Washington DC organisation."
227,DUANE MORRIS,correct,Duane Morris LLP (Philadelphia headquarters),30 South 17th Street,PHILADELPHIA,PA,19103,Duane Morris official Philadelphia office page,https://www.duanemorris.com/offices/philadelphia.html,"The three attorney donors are in FL, IL and NJ, each near a different office, so the Philadelphia HQ is used; the firm's site confirms 30 S 17th St."
228,DUKAS LINDEN PUBLIC RELATIONS,not_found,"Dukas Linden Public Relations (DLPR), New York",,,,,DLPR official contact page,https://dlpr.com/contact-us/,The firm says it is 'headquartered in New York' but has published no street address since at least 2021 (its 2017 site listed 100 West 26th St). The published 120 W 45th St could not be verified.
229,DW ADVERTISING,correct,"DW Advertising (Bloomfield, CT agency)",682 Bloomfield Ave.,BLOOMFIELD,CT,06002,DW Advertising official website (dw-advertising.com),https://dw-advertising.com/,"The agency's own site lists 682 Bloomfield Ave, Bloomfield CT, and its team page includes the donor as a remote content staffer."
230,EARLY LEARNING COALITION OF MIAMI-DADE AND MONROE,corrected,Early Learning Coalition of Miami-Dade/Monroe,"2555 Ponce de Leon Blvd., Suite 210",CORAL GABLES,FL,33134,Early Learning Coalition official website (Wayback snapshot 2026-09-12); IRS address via ProPublica agrees,http://web.archive.org/web/20260912144132/https://www.elcmdm.org/,"The coalition's site footer and its IRS registration both give 2555 Ponce de Leon Blvd, Coral Gables as the Miami-Dade office, not 5555 Biscayne Blvd."
231,EB5 CAPITAL,correct,EB5 Capital,"6106 MacArthur Blvd, 1st Floor",BETHESDA,MD,20816,EB5 Capital official contact page,https://eb5capital.com/contact-us/,The building is right. The company writes the unit as '1st Floor' rather than the published 'Ste 104'.
232,EISNER LLP,corrected,"Eisner, LLP (business and entertainment law firm, New York office)","40 West 57th Street, Suite 2030",NEW YORK,NY,10019,Eisner LLP official contact page and attorney profile,https://www.eisnerlaw.com/contact/,The donor is a partner in the New York office of Eisner LLP (offices in Beverly Hills and New York only). The published Irvine address is another company's.
233,ELDRIDGE,corrected,Eldridge (Eldridge Industries / Eldridge Capital Management),"767 Fifth Avenue, Floor 17",NEW YORK,NY,10153,Eldridge official contact page (people directory confirms Dallas legal staff),https://www.eldridge.com/contact,"The donor is Managing Director, Legal at Eldridge Industries in Dallas, but Eldridge does not publish the Dallas office street address. Its only firm-level New York office is 767 Fifth Avenue, Floor 17; the published 1345 Avenue of the Americas is not on the site."
234,ELM STREET PARTNERS,not_found,Elm Street Partners (real estate firm; identity unconfirmed),,,,,,,"No official website, registry record or directory entry could be found that ties a real estate principal in Delray Beach FL to an 'Elm Street Partners'. The published Houston address (820 Gessner) has no source and does not fit a Florida donor."
