employer_name,decision,expansion,confidence,verified,evidence,why
MOSS,keep_as_is,,medium,,https://moss.com/markets/south-florida/ and https://en.wikipedia.org/wiki/Moss_&_Associates,"Moss (formerly Moss & Associates) is a large South Florida general contractor with a Miami office, matching the PROJECT MANAGER occupation in Miami FL — but the company rebranded to the single word 'Moss', so that is its actual trading name and not an acronym."
MYSELF,keep_as_is,,high,,,"Self-employment placeholder, not an organization — there is no entity to expand and no public name exists. RETIRED donor in Healdsburg CA. No search needed."
NAVISTAR,keep_as_is,,high,,,"No search needed — Navistar is a well-known truck manufacturer and its actual brand name; Lisle, IL HQ in the file matches and a retired Skokie, IL donor is consistent."
NAVY,keep_as_is,,medium,,,Already intelligible to any reader as the military branch; a RETIRED donor in Chocowinity NC needs no expansion to be understood. Not an opaque acronym.
NEFCO,keep_as_is,,high,,"https://www.gonefco.com/ — NEFCO, construction supply company, 411 Burnham St, East Hartford CT","The company trades publicly as 'NEFCO' (legal name NEFCO Holding Company LLC); the East Hartford CT HQ and CT donors confirm the match, and the legal name adds no intelligibility."
NETATWORK,keep_as_is,,low,,n/a - not an acronym,"Reads as the trading name 'Net at Work' (IT services), not an acronym; a reader can parse it. No search evidence obtained, but nothing to expand."
NETFLIX,keep_as_is,,high,,decided without search — globally recognized brand,"BUSINESS AFFAIRS EXECUTIVE in Tarzana, CA with a Los Gatos, CA resolved_hq matches Netflix's HQ; the name needs no explanation."
NEWFRONT,keep_as_is,,high,,no search needed — Newfront Insurance is the firm's trading name,Newfront is a plain-English brand name rather than an acronym; the INSURANCE BROKER occupation and San Francisco HQ corroborate Newfront Insurance.
NEXTOP,keep_as_is,,medium,,"https://nextopvets.org/ — nonprofit recruiting, developing and placing veterans into industry careers; Houston TX with New Orleans hub",Identified confidently as the veterans employment nonprofit — its Louisiana/New Orleans operations and the donor's WORKFORCE DEVELOPMENT occupation in Mandeville LA corroborate it — but NextOp is the organization's own public trading name with no fuller form it uses.
NFP,keep_as_is,,medium,,"https://www.nfp.com/ ; https://www.crunchbase.com/organization/nfp (formerly National Financial Partners, acquired by Aon 2023)","The company legally rebranded from National Financial Partners to simply NFP (now an Aon company), so NFP is its current official trading name; NY HQ and INSURANCE/CONTROLLER/DIRECTOR donors confirm the identity."
NOBODY,keep_as_is,,low,,,"Junk self-description from one retired Portland OR donor, not an acronym or an organization; there is nothing to expand it to."
NORCHAR,keep_as_is,,medium,,"https://www.norchar.com/ - Rochester NY real estate, 389 Park Ave; no acronym expansion given","Company site confirms Norchar is a Rochester NY real-estate brokerage trading under that name; the site nowhere discloses an expansion, so there is no fuller name to substitute."
NORDSTROM,keep_as_is,,high,,n/a - well-known brand,No search needed - Nordstrom is a well-known retail brand and its real name; the ALTERATIONS SPECIALIST occupation and Seattle HQ confirm the retailer.
NORTHAVEN,keep_as_is,,medium,,https://www.northavencapital.com/,"Not an opaque acronym — it is a readable trading name; Dallas HQ matches Northaven Capital Partners but several distinct Dallas 'Northaven' entities exist, so no expansion is warranted."
NORTHMARQ,keep_as_is,,high,,,No search needed - NorthMarq is the commercial real estate capital firm's actual brand; Minneapolis hq matches and STRUCTURED FINANCE / REAL ESTATE occupations corroborate.
NORTHWELL,keep_as_is,,high,,,"Northwell (Northwell Health) is the recognized public brand of the Long Island health system; Manhasset NY HQ and doctor/healthcare donors in Great Neck and Glenwood Landing corroborate. Known brand, no search needed."
NOVARTIS,keep_as_is,,high,,decided without search (East Hanover NJ US HQ in row + pharma occupations corroborate),No search needed — Novartis is a globally recognized pharmaceutical brand; resolved_hq East Hanover NJ (its US headquarters) and MEDICAL DIRECTOR donors in Summit/Voorhees NJ corroborate. Not an acronym.
NUNYA,keep_as_is,,medium,,"decided without search (non-entity placeholder text, no HQ resolved)","No search needed — this is filer junk, the joke evasion 'nunya business', not an organization; ADVERTISING/BUSINESS donors in Miami Beach FL and Santa Monica CA with no resolved_hq. There is no real name to expand to."
OBXTEK,keep_as_is,,high,,"https://www.obxtek.com/ - 'OBXtek Inc.', relationship-driven technology and logistics company; no acronym expansion","Company site shows OBXtek Inc. is the actual trading and legal name of the Vienna VA technology/logistics contractor; not an initialism, and the CONGRESSIONAL AFFAIRS donor in Washington DC matches the govcon profile."
ODYSSEY,keep_as_is,,low,,,"Not an acronym - a plain English word used as a company name; a single RETIRED donor in New York with no resolved_hq cannot identify which Odyssey entity, but no acronym expansion applies either."
OPENTEXT,keep_as_is,,high,,n/a - well-known brand,OpenText is the well-known public brand and legal name of the enterprise information management software company; a reader recognizes it. No search needed.
OPTUM,keep_as_is,,high,,,Optum is the actual public brand of UnitedHealth Group's health-services arm (Eden Prairie MN HQ matches); decided without search as a well-known brand.
ORBIS,keep_as_is,,medium,,n/a - not an acronym,"Orbis is a real Latin word used as a trading name (multiple real-estate/investment firms), not an initialism; nothing to expand."
ORDERTECH,keep_as_is,,medium,,n/a - not an acronym,"Descriptive compound trading name (order + tech), not an acronym; donor is OWNER of a small Phoenix AZ business so no larger parent to expand to."
ORLINSKY,keep_as_is,,medium,,n/a - founder/surname firm,Surname-style personal investment entity in Teaneck NJ (occupation INVESTMENTS); no public expansion exists for a one-person named firm. Decided without search per founder-named rule.
ORRICK,keep_as_is,,high,,no search needed — founder-named law firm,"Orrick, Herrington & Sutcliffe is universally called Orrick; attorney donors in Menlo Park and a San Francisco HQ corroborate the firm."
ORTHOFIX,keep_as_is,,high,,,"No search needed — Orthofix Medical is a listed medical-device maker whose brand is simply Orthofix; the Lewisville, TX HQ in the file matches and a Dallas lawyer donor is consistent."
ORTHOMED,keep_as_is,,medium,,"n/a - descriptive name, not an acronym","Descriptive compound name ('ortho' + 'med') that a reader already understands as an orthopedic practice, matching the Weston FL SURGEON; many unrelated practices share it, so no single expansion applies."
OURCROWD,keep_as_is,,high,,,"No search needed - OurCrowd is the actual brand of the Israeli venture crowdfunding platform, and VENTURE CAPITAL / FINANCE occupations corroborate it."
OXBOMB,keep_as_is,,medium,,"https://www.signalhire.com/companies/oxbomb-inc and https://rocketreach.co/jade-small-email_19022511 — OXBOMB, INC, 9321 Sawyer St, Los Angeles CA, staff credited to writer/director Etan Cohen","Filmmaker and film/TV donors in Los Angeles corroborate Oxbomb Inc, but 'Oxbomb' is the company's coined name rather than an acronym, so there is nothing to expand it to."
PACKMAN,keep_as_is,,medium,,decided without search — founder-surname law practice pattern,"ATTORNEY donor in Miami, FL with no resolved_hq: this is a surname-named small legal practice, the class the rules assign to keep_as_is."
PALANTIR,keep_as_is,,high,,decided without search — globally recognized brand,Palantir Technologies is a household-name public company; the mononym is the brand a reader already knows.
PARENTMAP,keep_as_is,,high,,decided without search — self-descriptive publication title,"PUBLISHER occupation on Mercer Island, WA matches the Seattle-area parenting magazine ParentMap, which is its real masthead name and already readable."
PAYCHEX,keep_as_is,,high,,"n/a - well-known brand, HQ matches Rochester NY",Paychex is the well-known payroll and HR services brand and its actual corporate name; the Rochester NY resolved_hq matches its real headquarters. No search needed.
PAYJOY,keep_as_is,,high,,"resolved_hq San Francisco, CA matches PayJoy Inc.",No search needed — PayJoy is the fintech's actual brand name (not an acronym) and the San Francisco CA resolved HQ plus SOFTWARE ENGINEER occupation confirm it; nothing to expand.
PAYPAL,keep_as_is,,high,,well-known public brand; San Jose HQ corroborates,"PayPal is a household consumer brand; San Jose HQ and attorney / Chief IR Officer / product management donors match. Obvious brand, no search needed."
PEETS,keep_as_is,,medium,,,"Well-known US consumer coffee brand (Peet's); MANAGER in Clovis, CA fits a retail store role. Reader-recognizable, so it stays. Decided without search as a known brand."
PENZANCE,keep_as_is,,medium,,,"Not an acronym — the firm's actual trading name; REAL ESTATE DEVELOPMENT donor in Bethesda, MD matches the DC-area developer of that name. Decided without search."
PERSONAL,keep_as_is,,high,,,Not an acronym or an organization — a self-employment placeholder; no public expansion exists (no search needed).
PHILIPS,keep_as_is,,high,,,"Decided without a search: Philips is a globally recognized brand and the MEDICAL SALES occupation plus Andover, MA HQ matches Philips' North American healthcare operation."
PIMCO,keep_as_is,,high,,no search needed — well-known asset manager brand,PIMCO is the firm's trading name and is more recognizable than 'Pacific Investment Management Company'; Newport Beach donors in investment management corroborate it.
PINTEREST,keep_as_is,,high,,no search needed — globally recognized brand,Pinterest is the company's own name; SF HQ and SALES donor in Sherman Oaks CA are consistent.
PNC,keep_as_is,,high,,,"Major US bank whose legal and public name is PNC; Pittsburgh, PA HQ matches and LOANS occupation fits. Decided without search as a well-known brand."
PORTMAN,keep_as_is,,medium,,,"Not an acronym — a founder surname used as the firm's trading name; REAL ESTATE donor in New York, NY is consistent with the Portman real-estate developer. Decided without search."
PRECIGEN,keep_as_is,,high,,,"Decided without a search: Precigen is the company's actual public brand name (Nasdaq: PGEN) and matches the Virginia HQ; it is a coined name, not an acronym."
PRICEMDS,keep_as_is,,high,,"https://pricemds.com/ — 'PriceMDs', healthcare cost-containment company, Clearwater, FL 33764",PriceMDs is the firm's own trading name and is already readable; Clearwater FL HQ and CEO donor location match exactly.
PRODEW,keep_as_is,,high,,"https://www.prodew.com/ — 'Prodew Inc.', perishable-control/misting equipment maker, 1359 Gresham Road, Marietta, Georgia",Prodew is the company's own trading name rather than an acronym; Marietta GA address and ENGINEERING donor match exactly.
PROHEALTH,keep_as_is,,medium,,name is already an intelligible trading name,"ProHealth is a readable trading name rather than an opaque acronym; a RETIRED donor in Old Saybrook CT is consistent with ProHealth Physicians, the Connecticut medical group, but the name already reads as a brand either way."
PTC,keep_as_is,,medium,,"PTC Inc. (formerly Parametric Technology Corp), Boston MA HQ — matches resolved_hq and Lexington MA donors","PTC Inc. legally shortened its name from Parametric Technology Corporation to PTC, so PTC is the company's current trading name; Boston HQ and Lexington MA donors match its Massachusetts base. Known brand, no search needed."
PUBLIX,keep_as_is,,high,,"well-known brand, no search needed",Publix is a well-known supermarket brand and its own trading name; RETIRED donor in Boynton Beach FL matches the Lakeland FL HQ. Decided without a search as an obvious known brand.
PVH,keep_as_is,,high,,https://en.wikipedia.org/wiki/PVH_(company),"PVH Corp. is the company's official current name since its 2011 rename from Phillips-Van Heusen; Wikipedia confirms the Manhattan HQ, matching the NYC HEAD OF INVESTOR RELATIONS donor."
QUALCOMM,keep_as_is,,high,,,Qualcomm is the firm's well-known public brand; San Diego CA HQ and La Jolla counsel donor fit (no search needed).
QUARTZY,keep_as_is,,high,,no search needed — Quartzy is the company's own brand name,Quartzy is the trading name of the lab-supply management platform; SF HQ and San Mateo PRODUCT MANAGER donor match.
RADNET,keep_as_is,,high,,https://en.wikipedia.org/wiki/RadNet,"RadNet is the company's actual trading name (NASDAQ: RDNT), not an acronym; Wikipedia confirms LA headquarters and the PHYSICIAN/Los Angeles donor context matches the imaging-center operator."
RATNER,keep_as_is,,medium,,,"Not an acronym — a founder surname used as a company name; PRESIDENT in Minnetonka, MN suggests a family-named firm with no public expansion. Decided without search."
RAZORFISH,keep_as_is,,high,,no search needed — well-known digital agency brand,Razorfish is the agency's actual trading name; NYC HQ and WEB ANALYST occupation match.
RBC,keep_as_is,,medium,,"well-known brand, no search needed","Decided without search: RBC is the Royal Bank of Canada's own global trading brand (RBC Capital Markets in NYC), and a reader recognizes it; BANKING + New York fits but the brand is already the public name."
REINGOLD,keep_as_is,,high,,occupation + Northern Virginia geography match Reingold Inc.,No search needed — Reingold is a founder-named DC-area communications agency and its trading name; the SENIOR DIGITAL MARKETING ASSOCIATE occupation in Reston VA with an Alexandria VA HQ fits that firm exactly.
RENSOP,keep_as_is,,high,,https://www.rensopinvestment.com/copy-of-home,"Confirmed as Rensop Investment Group, a NYC private equity firm whose Chief Investment Officer title matches the donor occupation and NY location exactly; RENSOP is the firm's coined trading name (Posner reversed), not an acronym needing expansion."
RIPPLING,keep_as_is,,high,,well-known brand,Decided without search: Rippling is a well-known San Francisco HR/IT software brand; donor BIZOPS in San Francisco and SF resolved_hq match.
RISKSPAN,keep_as_is,,high,,"trading name, not an acronym","Decided without search: RiskSpan is the company's actual trading name (mortgage/credit analytics), already intelligible; donor occupation FINTECH corroborates the firm."
ROBELL,keep_as_is,,medium,,name is not an acronym,Decided without search: not an acronym - a proper company/family name; PRESIDENT in New York NY reads as an owner-run firm with no public expansion.
ROCHE,keep_as_is,,high,,well-known brand,Decided without search: Roche is a globally recognized pharmaceutical brand and the South San Francisco resolved_hq matches its Genentech site; a reader recognizes it.
RUDDELL,keep_as_is,,medium,,founder/surname-named firm,Decided without search: surname-named firm (REAL ESTATE in Birmingham AL); not an acronym and no public expansion.
RUGGABLE,keep_as_is,,high,,no search needed — well-known consumer brand,Ruggable is the trading brand for the washable-rug company; COO donor in Los Angeles fits its LA-area base.
RUTGERS,keep_as_is,,high,,no search needed — universally known university short name,Rutgers is the university's common public name; New Brunswick NJ HQ and NJ donor places match.
S-DOCS,keep_as_is,,medium,,trading name,"Decided without search: S-Docs is the company's own product and trading name (Salesforce document generation, NYC); donor TECHNOLOGY in New York NY fits, and there is no fuller public name."
SAFEHOLD,keep_as_is,,high,,New York NY HQ + REAL ESTATE occupation in row; company trades as Safehold,"Safehold Inc. is the company's actual name (NYSE: SAFE), a NYC ground-lease REIT — not an acronym; New York NY HQ and the REAL ESTATE donor in Scarsdale NY match."
SAFETECH,keep_as_is,,medium,,name is already a readable trading name,"Decided without search: SafeTech is a readable trading-style name, not an opaque acronym; which SafeTech the ENGINEER in Spring TX works for is unclear, but no expansion is needed for intelligibility."
SAGENT,keep_as_is,,medium,,"https://sagent.com/about/ — Sagent Lending Technologies, mortgage servicing software","Sagent is a coined proper brand name rather than an acronym; the SOFTWARE DEVELOPER occupation fits, though the company's King of Prussia, PA base does not match the file's New York resolution."
SANDHURST,keep_as_is,,low,,Irvington NY 'Sandhurst real estate investment' search returned no matching firm,"A readable one-word trading name, not an acronym; searching Irvington, NY real estate returned no public 'Sandhurst' firm, consistent with a private family investment company."
SAVERS,keep_as_is,,high,,https://en.wikipedia.org/wiki/Savers,"Savers (Savers Value Village) is the real retail brand, HQ Bellevue WA, which exactly matches the resolved HQ and the Mercer Island WA donor."
SAVILLS,keep_as_is,,high,,,Savills is the global commercial real estate brokerage's own trading name; broker/CRE occupations and NY HQ corroborate. Decided without search as a known brand.
SCHATZKI,keep_as_is,,medium,,"surname pattern; PHYSICIAN occupation, no resolved HQ","A surname, not an acronym — a PHYSICIAN in Wellesley MA working under a personally named medical practice with no resolved HQ and no public expansion."
SCHECHTER,keep_as_is,,medium,,founder-surname trading name; Bloomfield Hills MI location consistent,"Founder-surname firm — Schechter (wealth and insurance advisory) is based in Bloomfield Hills MI, matching the donor's city and CEO occupation; the surname is how the firm publicly trades."
SCHONFELD,keep_as_is,,high,,founder-surname trading name; occupation and NY HQ consistent,"Founder-named firm (Schonfeld Strategic Advisors, Steven Schonfeld) that trades under the surname; PORTFOLIO MANAGER occupation and New York NY HQ match, and the surname is the firm's public name."
SEDGWICK,keep_as_is,,high,,trading name / known brand,"Decided without search: Sedgwick is the actual trading name of both the claims-management firm and the law firm; either way a reader sees a real firm name, not an acronym."
SEGBRO,keep_as_is,,high,,https://www.pincusco.com/company/segbro-companies/ and https://nextdoor.com/pages/segbro-companies-englewood-cliffs-nj/,"Segbro Companies is a real family-run real estate firm at 619 E Palisade Ave, Englewood Cliffs NJ — exactly matching the donors' REAL ESTATE occupation and Englewood Cliffs / Englewood NJ cities — but 'Segbro' is the firm's own trading name (from founder Segal), not an acronym, so there is no intelligible expansion."
SEMRUSH,keep_as_is,,high,,known public company brand; resolved_hq Boston MA matches,"Semrush is the company's public brand (NYSE: SEMR, SEO/marketing analytics); the Boston MA HQ matches and a SALES occupation fits. Decided without search as an obvious brand."
SENTILINK,keep_as_is,,high,,no search needed — SentiLink is the company's brand name,"SentiLink is a coined brand, not an acronym; a VP of Finance donor and a Bay Area HQ corroborate the identity-fraud startup."
SETNA,keep_as_is,,high,,"https://setna.aero/ — 'Setna (Setna iO)', global aviation used-serviceable-material network, HQ 475 Bond St, Lincolnshire IL 60069","Verified as Setna iO, an aviation parts and leasing firm headquartered in Lincolnshire IL — the CEO donor in Glencoe IL corroborates it — but 'Setna' is the actual trading name, not an acronym, so expanding adds no intelligibility."
SEYFARTH,keep_as_is,,high,,founder-surname firm; Chicago HQ matches Seyfarth Shaw,"Founder-named law firm Seyfarth Shaw, commonly called 'Seyfarth'; the ATTORNEY occupation and Chicago IL HQ match its headquarters exactly. Decided without search as a recognized founder-named firm."
SFMG,keep_as_is,,high,,https://sfmg.com/ and https://www.napfa.org/firm/7454/19292,"WEALTH ADVISOR in Plano, TX matches SFMG Wealth Advisors, whose legal and public name is literally 'SFMG' — the letters have no published expansion."
SG360,keep_as_is,,medium,,"https://sg360.com/locations/ — sg360°, a Segerdahl company, 1351 S. Wheeling Rd, Wheeling, IL","Wheeling, IL HQ matches exactly and the MECHANIC/MACHINE ADJUSTER and SALES roles fit a direct-mail printer, but the fuller name 'Segerdahl' is a founder surname that is no more intelligible than the sg360° trading brand."
SHELL,keep_as_is,,high,,"well-known public brand (Shell plc / Shell USA, Houston)","Shell is a globally recognized brand; Houston TX HQ matches Shell USA. Well-known brand, decided without search."
SHORASHIM,keep_as_is,,medium,,https://search.brave.com/search?q=Shorashim+organization+Israel+program,"Shorashim is the organization's actual name — Hebrew for 'roots' — for the nonprofit building ties between Israeli and North American Jews; it is a word, not an acronym, so there is no expansion to apply."
SHOWD.ME,keep_as_is,,medium,,,"No search needed — this is a domain-style brand name, not an acronym, and a SOFTWARE DEVELOPER donor fits the company trading under that exact name."
SHUMAKER,keep_as_is,,high,,no search needed - founder-named law firm trading name,"Founder-named law firm (Shumaker, Loop & Kendrick) whose public trading name is simply Shumaker; attorney donors and Tampa FL HQ match. Decided without search per obvious founder-named-firm rule."
SHUSHANA,keep_as_is,,medium,,,"No search needed — reads as a personal/family-named real-estate entity (donor is a REAL ESTATE INVESTOR AND DEVELOPER in NEW YORK, NY); no public expansion exists for a name of this form."
SIDLEY,keep_as_is,,high,,Sidley Austin LLP brands as 'Sidley'; Chicago HQ matches resolved_hq,Sidley Austin LLP markets itself simply as 'Sidley' (sidley.com); founder-named law firm with Chicago HQ and attorney donors in Los Angeles — a reader recognizes it. Decided without search per the founder-named-firm rule.
SILBEY,keep_as_is,,medium,,,"A surname, not an acronym; one retired FL donor and no resolved HQ, consistent with a personal or family entity with no public expansion."
SIMONCRE,keep_as_is,,high,,https://simoncre.com/,"SimonCRE is the firm's actual trading name and brand (simoncre.com); Scottsdale AZ HQ and a CEO donor confirm the match, but the name needs no expansion."
SIMPLIGOV,keep_as_is,,medium,,,"No search needed — SimpliGov is a coined product/company brand rather than an acronym; EXECUTIVE CHAIRMAN in the Bay Area with an Oakland, CA HQ fits the govtech firm."
SKADDEN,keep_as_is,,high,,well-known founder-named firm; NY HQ + attorney occupations corroborate,Skadden is the universally used short form of the firm's own founder-derived name; attorneys/partners with NY HQ match. Decided without search per the obvious-brand allowance.
SKDK,keep_as_is,,medium,,,"No search needed — SKDK is the DC public-affairs and advertising firm's own current trading name (formerly SKDKnickerbocker); ADVERTISING occupation and Washington, DC HQ confirm the identification."
SKYFLOW,keep_as_is,,high,,,"Skyflow is the actual company name of the SF-based data-privacy vault startup; SF HQ and customer-programs/CX occupations fit. Known brand, no search needed."
SLADOWSKY,keep_as_is,,medium,,"surname pattern; no resolved HQ, single donor in FINANCIAL SERVICES","A surname, not an acronym — a person's own small financial services practice in Englewood NJ with no resolved HQ and no public expansion; falls under the person's-own-LLC keep rule."
SLATEWELL,keep_as_is,,high,,"coined wordmark, not an initialism",Not an acronym — a coined single-word company name; FOUNDER in Brooklyn NY is consistent with the donor's own venture. Decided without search.
SOCALGAS,keep_as_is,,high,,https://en.wikipedia.org/wiki/Southern_California_Gas_Company,SoCalGas is the registered trading name of the Southern California Gas Company and is how the utility publicly brands itself; Los Angeles HQ matches the row exactly.
SPACEX,keep_as_is,,high,,,SpaceX is the universally recognized public brand; Hawthorne CA HQ and ENGINEER donor fit (no search needed).
SPOTON,keep_as_is,,high,,"coined brand name, not an initialism","SpotOn is the payments/restaurant-tech company's own brand name, not an initialism; CHIEF INNOVATION OFFICER is consistent. Decided without search."
SS&C,keep_as_is,,medium,,,"No search needed — SS&C Technologies is the firm's actual public trading name (NASDAQ: SSNC); SOFTWARE ENGINEER occupation and the Windsor, CT HQ confirm the identification."
STAGWELL,keep_as_is,,high,,publicly listed as Stagwell Inc.,Stagwell Inc. is the publicly traded marketing holding company's own name; MARKETING occupation and New York HQ match. Decided without search (known brand).
STANFORD,keep_as_is,,high,,university common short name; Stanford CA HQ + physician occupations corroborate,"Stanford is the university's common public short name; Stanford CA HQ with pediatrician/physician donors in Atherton and Los Altos matches. Obvious institution, no search needed."
STAPLES,keep_as_is,,high,,"resolved_hq Framingham, MA matches Staples corporate HQ",Staples is the well-known office-supply retailer's own brand; the Framingham MA resolved HQ matches its corporate headquarters. Decided without search (known brand).
STARBUCKS,keep_as_is,,high,,,No search needed - universally recognized brand; Seattle hq and BARISTA donors confirm.
STARFIELD,keep_as_is,,medium,,surname-style solo practice pattern,"PHYSICIAN in Studio City CA — reads as a surname-based private medical practice, which the rules keep as-is; no public expansion would exist."
STARTUP,keep_as_is,,high,,"generic placeholder term, not an organization name",Not an acronym or a real employer name — a generic self-description from a FOUNDER & CEO donor. There is nothing to expand it to.
STEMRAD,keep_as_is,,high,,https://html.duckduckgo.com/html/?q=StemRad+Tampa+Florida+radiation+protection+company,"StemRad is the company's actual registered brand name (StemRad Inc., radiation-protection PPE) with US headquarters in Tampa FL — matching the CEO donor in Tampa and the Tampa resolved HQ. Not an acronym."
STENSUL,keep_as_is,,high,,"coined brand name, not an initialism",Stensul is the email-creation software company's own coined name; CUSTOMER SUCCESS role and Brooklyn NY HQ match. Decided without search.
STEPHENS,keep_as_is,,high,,,"No search needed - Stephens Inc. is the founder-named Little Rock AR investment bank, and resolved_hq is Little Rock AR. A surname firm name, not an acronym."
STERN,keep_as_is,,high,,surname-based firm name; no search performed,"A founder surname used as a firm name (REAL ESTATE DEVELOPMENT donor, New York resolved HQ), not an acronym — there is no expansion to apply. Decided without a search per the founder-named-firm rule."
STINSON,keep_as_is,,high,,https://www.stinson.com/locations,Stinson LLP is the firm's actual trading name — a 450-attorney founder-named law firm with a St. Louis office matching resolved_hq and an ATTORNEY donor in Dallas TX where the firm also practices; 'Stinson' is not an acronym.
STRETTO,keep_as_is,,high,,"Stretto is the company's own brand name (bankruptcy administration services, Orange County CA)",Stretto is the bankruptcy-services firm's actual trading name (not an acronym); Newport Beach CA HQ fits. No expansion exists.
STRIIM,keep_as_is,,high,,"coined brand name, not an initialism","Striim is the data-streaming software company's own coined name, not an acronym. Decided without search."
STRIPE,keep_as_is,,high,,,"No search needed - well-known payments brand; SF hq plus SOFTWARE ENGINEER/PRODUCT DESIGNER donors confirm it is the company, not an acronym."
STROOCK,keep_as_is,,high,,founder-named law firm; NY HQ + attorney occupations corroborate,"Stroock is the common short form of the founder-named New York firm Stroock & Stroock & Lavan; attorney donors and NY HQ match. Founder-named firm, no search needed."
STUDLEY,keep_as_is,,high,,,"Founder-named commercial real estate brokerage (Julien J. Studley, later Savills Studley) trading under that surname; NY HQ and retired NY/MD donors fit. Founder-named firm, no search needed."
SUBWAY,keep_as_is,,high,,"resolved_hq Milford, CT matches Subway corporate HQ",Subway is the sandwich franchise's own brand; OWNER occupation fits a franchisee and the Milford CT resolved HQ matches Subway's headquarters. Decided without search (known brand).
SULTAN,keep_as_is,,medium,,"surname-style single word, not an initialism",A surname rather than an acronym; FINANCE in New York gives no organization to expand to and no public expansion exists.
SUNWEST,keep_as_is,,low,,,Readable compound word used as a trading name by many firms; a RETIRED Dallas TX donor with no HQ gives no basis to pick one.
SWIRNOW,keep_as_is,,high,,"https://swirnow.com/ and https://swirnowstructures.com/ — Swirnow Building Systems / Swirnow Structures / Swirnow Capital, all Baltimore MD","Swirnow is the family surname the businesses actually trade under, and the Baltimore MD donor matches; the several Swirnow entities share that name so there is no single fuller form to substitute (the Sunnyvale CA resolved HQ is wrong)."
SYNOPSYS,keep_as_is,,high,,well-known brand,"Well-known public EDA software brand (NASDAQ: SNPS); resolved HQ Mountain View CA matches, and an ENGINEER donor fits. Decided without search."
SYNTHEGO,keep_as_is,,medium,,,"Coined brand name of the genome-engineering company, not an acronym; South San Francisco HQ fits its Bay Area base."
TACTIX,keep_as_is,,medium,,no search needed — name is a trading brand,"Pronounceable trading name, not an opaque acronym; TACTIX Real Estate Advisors is a Philadelphia tenant-rep firm, matching the RE BROKER / Philadelphia PA donor context. Decided without search (brand-style name)."
TANDEMHR,keep_as_is,,high,,"https://tandemhr.com/about-us/ - Tandem HR, IRS-certified PEO headquartered in Westchester, Illinois","Tandem HR is the Westchester IL PEO's actual brand name (rebranded 1998/2008), not an acronym; only spacing differs, and the Chicago IL donor matches its market."
TECHMARK,keep_as_is,,medium,,"No search performed (budget exhausted); the name is a coined compound word, not an initialism","Techmark is a trading name that reads as a brand, and the BRANDING occupation is consistent with it; there is no acronym to expand and the Boynton Beach FL donor vs Detroit MI resolved HQ gives no basis to pick a specific Techmark entity."
TESLA,keep_as_is,,high,,well-established public fact; no search performed,Globally recognized brand and the company's actual name; Austin TX resolved HQ matches. No search needed.
TETRAGON,keep_as_is,,medium,,"https://en.wikipedia.org/wiki/Tetragon_Financial_Group and https://www.tetragoninv.com/about-us/team/ — NY office, CEO based in New York","Tetragon is a word-mark trading name, not an acronym — Tetragon Financial Group / TFG Asset Management runs its New York office, matching the CEO donor in New York NY and resolved_hq New York NY. Nothing to expand."
THATCH,keep_as_is,,medium,,no search needed — word-style brand name,"Ordinary English word used as a company brand (health-benefits startup), not an unintelligible acronym; a reader reads it as a name. Decided without search."
THERABODY,keep_as_is,,high,,no search needed - well-known consumer brand,"Therabody is the company's actual consumer brand name (Theragun maker), not an acronym; CO-FOUNDER/EXECUTIVE donors in Beverly Hills CA fit. Decided without search."
THIMBLE,keep_as_is,,medium,,search blocked (CAPTCHA + HTTP 403); decided on the basis that the name is not an initialism,"An ordinary English word used as a company brand name (NY-based small-business insurer), not an acronym — there is no expansion to apply. Decided without a confirming search: DuckDuckGo returned CAPTCHA/403 on every attempt."
TIEKS,keep_as_is,,high,,,No search needed - Tieks is the actual consumer brand of the Beverly Hills footwear company; hq matches and the donor is its CEO in LA.
TIFIN,keep_as_is,,high,,https://html.duckduckgo.com/html/?q=TIFIN+company+New+York+fintech+wealth+management,"TIFIN is a coined brand name, not an acronym — an AI/fintech wealth-management company based in New York, matching the resolved NYC HQ. Nothing to expand."
TINDER,keep_as_is,,high,,"resolved_hq West Hollywood, CA matches Tinder Inc.",No search needed — Tinder is a globally recognized consumer brand and the West Hollywood CA resolved HQ confirms the dating app company; a reader needs no expansion.
TMB,keep_as_is,,medium,,"https://tmb.com/contact-us/ — TMB, 527 Park Avenue, San Fernando, CA 91340, entertainment technology since 1983","Resolved HQ San Fernando, CA matches TMB, the entertainment/concert-touring technology supplier at 527 Park Ave, San Fernando; TMB is the company's own trading name with no published expansion."
TORRECOM,keep_as_is,,medium,,no search needed — firm's own trading name,Torrecom is the trading name of a telecom tower infrastructure firm; resolved HQ New York NY matches the donor's INFRASTRUCTURE DEVELOPMENT AND OPERATIONS role and New York location.
TOSCO,keep_as_is,,medium,,"https://en.wikipedia.org/wiki/Tosco_Corporation — acronym for The Oil Shale Corporation, but operated 1955-2001 as refiner Tosco Corporation","Although originally 'The Oil Shale Corporation', the firm traded and was known as Tosco Corporation, a major refiner, through its 2001 Phillips merger; expanding it would mislead readers about a RETIRED donor's employer. Resolved HQ Santa Monica CA matches its founding location."
